On_base_percentage,Slugging_percentage,Batting_average,Playoffs,Opponent_on_base_percentage,Opponent_slugging_percentage
0.339,0.405,0.263,0,0.323,0.39
0.314,0.383,0.249,0,0.33,0.394
0.356,0.455,0.27,1,0.338,0.434
0.332,0.431,0.266,1,0.323,0.406
0.35,0.454,0.279,0,0.336,0.452
0.329,0.419,0.256,0,0.348,0.462
0.325,0.43,0.263,0,0.339,0.435
0.332,0.423,0.262,1,0.323,0.408
0.341,0.469,0.275,0,0.354,0.456
0.331,0.423,0.259,0,0.324,0.408
0.321,0.428,0.272,0,0.33,0.436
0.309,0.383,0.242,0,0.319,0.382
0.333,0.411,0.267,0,0.362,0.457
0.337,0.405,0.274,0,0.336,0.431
0.323,0.405,0.268,0,0.346,0.446
0.338,0.407,0.256,0,0.329,0.404
0.327,0.397,0.269,1,0.313,0.393
0.338,0.42,0.267,0,0.336,0.431
0.318,0.387,0.252,0,0.346,0.442
0.337,0.406,0.258,0,0.352,0.45
0.333,0.403,0.247,1,0.308,0.404
0.336,0.432,0.257,0,0.337,0.457
0.325,0.425,0.261,1,0.304,0.385
0.33,0.412,0.26,0,0.337,0.454
0.329,0.425,0.274,0,0.355,0.455
0.292,0.348,0.233,0,0.31,0.386
0.322,0.397,0.259,0,0.352,0.476
0.326,0.401,0.258,0,0.327,0.423
0.338,0.455,0.269,0,0.355,0.451
0.333,0.44,0.266,0,0.339,0.434
0.328,0.458,0.268,0,0.321,0.395
0.306,0.36,0.247,0,0.34,0.435
0.344,0.41,0.271,0,0.311,0.388
0.373,0.467,0.289,1,0.347,0.439
0.333,0.435,0.265,1,0.333,0.406
0.33,0.436,0.274,0,0.357,0.47
0.357,0.438,0.27,0,0.332,0.423
0.323,0.373,0.251,0,0.343,0.436
0.363,0.461,0.285,1,0.326,0.413
0.335,0.422,0.268,1,0.314,0.402
0.337,0.449,0.272,0,0.34,0.441
0.324,0.378,0.256,0,0.313,0.379
0.338,0.436,0.272,1,0.323,0.396
0.332,0.402,0.263,0,0.319,0.387
0.366,0.463,0.29,1,0.34,0.417
0.339,0.435,0.275,0,0.327,0.415
0.332,0.407,0.255,0,0.324,0.391
0.335,0.394,0.27,0,0.342,0.418
0.355,0.446,0.259,0,0.344,0.428
0.34,0.412,0.26,1,0.338,0.422
0.32,0.405,0.258,0,0.342,0.438
0.336,0.43,0.261,0,0.321,0.398
0.338,0.426,0.262,0,0.355,0.427
0.298,0.339,0.236,0,0.313,0.401
0.354,0.455,0.275,1,0.309,0.395
0.324,0.412,0.26,1,0.314,0.384
0.342,0.436,0.267,1,0.328,0.417
0.314,0.401,0.256,0,0.335,0.413
0.334,0.453,0.271,0,0.302,0.387
0.346,0.423,0.267,1,0.305,0.397
0.33,0.402,0.254,0,0.34,0.416
0.319,0.388,0.252,0,0.317,0.397
0.326,0.443,0.261,0,0.349,0.451
0.332,0.411,0.271,0,0.367,0.476
0.326,0.395,0.253,0,0.327,0.429
0.332,0.393,0.252,0,0.333,0.43
0.343,0.419,0.261,0,0.327,0.401
0.331,0.424,0.267,0,0.335,0.431
0.323,0.391,0.259,0,0.307,0.408
0.327,0.415,0.251,0,0.318,0.398
0.308,0.382,0.244,0,0.327,0.399
0.32,0.396,0.263,0,0.362,0.463
0.341,0.423,0.267,0,0.322,0.411
0.3,0.379,0.248,0,0.343,0.455
0.318,0.409,0.266,0,0.348,0.45
0.335,0.424,0.262,0,0.338,0.427
0.34,0.444,0.271,0,0.353,0.437
0.334,0.425,0.274,0,0.316,0.402
0.339,0.42,0.266,0,0.336,0.422
0.323,0.416,0.259,1,0.324,0.372
0.319,0.396,0.253,0,0.339,0.441
0.341,0.436,0.266,1,0.314,0.377
0.347,0.451,0.271,1,0.325,0.437
0.352,0.454,0.27,1,0.335,0.422
0.343,0.411,0.274,0,0.371,0.448
0.336,0.427,0.274,0,0.348,0.45
0.327,0.43,0.261,0,0.344,0.431
0.302,0.371,0.236,0,0.337,0.427
0.334,0.447,0.258,1,0.329,0.427
0.316,0.386,0.259,0,0.336,0.434
0.305,0.349,0.237,0,0.314,0.375
0.31,0.404,0.238,1,0.306,0.378
0.328,0.418,0.259,0,0.317,0.415
0.341,0.433,0.282,1,0.314,0.392
0.341,0.442,0.267,1,0.311,0.404
0.354,0.458,0.274,1,0.346,0.451
0.322,0.425,0.262,1,0.31,0.397
0.345,0.429,0.274,1,0.331,0.431
0.332,0.42,0.268,0,0.325,0.395
0.314,0.402,0.258,0,0.316,0.394
0.337,0.455,0.27,0,0.343,0.438
0.331,0.416,0.26,0,0.336,0.422
0.34,0.46,0.283,1,0.307,0.392
0.33,0.413,0.268,0,0.327,0.421
0.346,0.412,0.27,1,0.312,0.361
0.347,0.459,0.277,1,0.32,0.402
0.354,0.483,0.292,0,0.35,0.48
0.323,0.425,0.255,0,0.323,0.411
0.338,0.419,0.276,1,0.319,0.39
0.339,0.422,0.259,0,0.328,0.401
0.32,0.397,0.269,0,0.328,0.415
0.331,0.399,0.274,0,0.342,0.435
0.323,0.395,0.253,1,0.296,0.361
0.316,0.386,0.249,0,0.315,0.401
0.336,0.431,0.263,0,0.326,0.397
0.331,0.399,0.264,0,0.309,0.38
0.356,0.434,0.271,0,0.345,0.423
0.335,0.415,0.268,0,0.332,0.4
0.315,0.415,0.26,0,0.331,0.428
0.338,0.449,0.268,0,0.33,0.423
0.32,0.404,0.265,0,0.347,0.44
0.348,0.463,0.284,0,0.328,0.422
0.35,0.458,0.278,1,0.341,0.417
0.339,0.409,0.272,0,0.339,0.402
0.318,0.394,0.247,0,0.333,0.418
0.332,0.438,0.255,1,0.329,0.41
0.322,0.413,0.25,1,0.316,0.409
0.332,0.448,0.263,1,0.32,0.41
0.354,0.462,0.283,0,0.362,0.455
0.333,0.421,0.266,1,0.325,0.396
0.311,0.417,0.247,1,0.315,0.403
0.366,0.453,0.282,1,0.329,0.4
0.325,0.424,0.272,0,0.337,0.432
0.317,0.4,0.265,0,0.339,0.423
0.328,0.426,0.263,0,0.356,0.423
0.321,0.382,0.262,0,0.341,0.404
0.318,0.369,0.242,0,0.328,0.392
0.341,0.426,0.263,0,0.345,0.45
0.348,0.433,0.282,0,0.365,0.454
0.339,0.424,0.277,0,0.357,0.462
0.333,0.399,0.264,1,0.315,0.376
0.339,0.432,0.261,1,0.315,0.384
0.322,0.386,0.252,0,0.333,0.396
0.311,0.374,0.258,0,0.337,0.432
0.36,0.491,0.289,1,0.327,0.415
0.354,0.437,0.28,1,0.33,0.423
0.336,0.433,0.268,0,0.358,0.467
0.309,0.403,0.246,0,0.336,0.435
0.355,0.45,0.276,1,0.332,0.422
0.313,0.392,0.249,0,0.342,0.431
0.333,0.457,0.268,0,0.338,0.453
0.332,0.413,0.26,1,0.311,0.405
0.329,0.4,0.251,0,0.343,0.448
0.303,0.368,0.242,0,0.309,0.346
0.321,0.387,0.248,0,0.32,0.417
0.348,0.425,0.288,0,0.362,0.474
0.36,0.458,0.27,1,0.348,0.423
0.349,0.457,0.28,0,0.335,0.431
0.309,0.407,0.245,0,0.335,0.438
0.338,0.425,0.264,1,0.321,0.386
0.311,0.369,0.244,0,0.317,0.378
0.319,0.38,0.248,0,0.337,0.439
0.318,0.389,0.265,0,0.351,0.433
0.329,0.411,0.258,0,0.325,0.414
0.34,0.408,0.279,0,0.324,0.431
0.336,0.415,0.263,0,0.344,0.431
0.31,0.393,0.253,0,0.35,0.439
0.331,0.435,0.264,0,0.347,0.423
0.329,0.415,0.275,0,0.337,0.425
0.316,0.401,0.254,0,0.329,0.426
0.325,0.39,0.256,0,0.339,0.433
0.349,0.455,0.279,0,0.337,0.441
0.331,0.409,0.26,1,0.313,0.364
0.317,0.371,0.246,0,0.308,0.368
0.329,0.449,0.274,1,0.321,0.405
0.362,0.472,0.278,1,0.342,0.412
0.336,0.425,0.263,0,0.326,0.397
0.337,0.403,0.261,0,0.341,0.415
0.319,0.426,0.251,0,0.35,0.44
0.322,0.387,0.254,0,0.334,0.405
0.321,0.413,0.246,0,0.331,0.407
0.321,0.381,0.242,0,0.333,0.406
0.337,0.429,0.277,0,0.353,0.447
0.321,0.413,0.25,1,0.334,0.42
0.341,0.431,0.277,1,0.319,0.428
0.318,0.422,0.255,0,0.319,0.405
0.351,0.435,0.269,0,0.343,0.447
0.322,0.378,0.248,0,0.342,0.416
0.352,0.457,0.28,0,0.353,0.456
0.327,0.42,0.258,0,0.333,0.438
0.343,0.447,0.274,0,0.341,0.438
0.341,0.425,0.273,1,0.319,0.398
0.343,0.444,0.263,1,0.322,0.399
0.324,0.418,0.253,0,0.33,0.419
0.315,0.411,0.251,1,0.305,0.39
0.348,0.432,0.276,1,0.33,0.418
0.341,0.422,0.273,1,0.317,0.417
0.318,0.395,0.245,0,0.349,0.463
0.328,0.384,0.264,0,0.342,0.465
0.322,0.379,0.252,0,0.316,0.378
0.339,0.417,0.264,0,0.351,0.443
0.33,0.454,0.266,0,0.36,0.473
0.333,0.429,0.267,0,0.361,0.435
0.338,0.421,0.271,1,0.313,0.387
0.343,0.434,0.27,1,0.329,0.4
0.362,0.455,0.294,0,0.354,0.471
0.325,0.416,0.25,0,0.34,0.448
0.353,0.447,0.279,0,0.35,0.441
0.352,0.472,0.28,0,0.351,0.453
0.319,0.381,0.244,0,0.342,0.423
0.322,0.395,0.256,0,0.346,0.427
0.326,0.433,0.254,0,0.333,0.407
0.332,0.437,0.272,1,0.318,0.421
0.342,0.464,0.28,0,0.326,0.44
0.332,0.415,0.268,0,0.353,0.476
0.32,0.409,0.264,0,0.315,0.387
0.343,0.439,0.263,0,0.324,0.417
0.32,0.39,0.253,0,0.352,0.442
0.325,0.431,0.253,1,0.323,0.406
0.33,0.408,0.253,0,0.338,0.426
0.345,0.432,0.281,0,0.348,0.404
0.304,0.395,0.243,0,0.314,0.39
0.317,0.409,0.249,0,0.335,0.405
0.349,0.461,0.28,0,0.322,0.392
0.329,0.41,0.258,0,0.331,0.431
0.346,0.43,0.263,1,0.327,0.403
0.334,0.435,0.267,1,0.318,0.398
0.337,0.433,0.272,0,0.325,0.437
0.35,0.441,0.285,1,0.338,0.432
0.322,0.428,0.261,1,0.303,0.373
0.336,0.399,0.252,0,0.33,0.45
0.339,0.401,0.258,1,0.314,0.376
0.346,0.429,0.271,1,0.319,0.402
0.318,0.405,0.259,0,0.343,0.422
0.353,0.426,0.273,0,0.356,0.457
0.322,0.411,0.251,0,0.311,0.374
0.357,0.454,0.281,1,0.335,0.441
0.317,0.39,0.25,0,0.332,0.409
0.329,0.399,0.257,0,0.345,0.451
0.334,0.439,0.266,0,0.329,0.393
0.338,0.418,0.262,0,0.349,0.447
0.331,0.396,0.27,0,0.338,0.441
0.333,0.422,0.271,1,0.322,0.399
0.349,0.475,0.284,1,0.327,0.401
0.327,0.405,0.261,0,0.331,0.412
0.345,0.455,0.275,0,0.372,0.471
0.362,0.478,0.283,1,0.327,0.408
